all_scopus
4.10E+05
4.21E+05
5.11E+05
5.51E+05
5.54E+05
5.55E+05
5.78E+05
6.08E+05
6.44E+05
6.57E+05
6.87E+05
7.30E+05
7.53E+05
7.96E+05
8.11E+05
7.96E+05
8.01E+05
8.26E+05
8.76E+05
9.25E+05
9.29E+05
9.29E+05
9.83E+05
1.02E+06
1.05E+06
1.19E+06
1.22E+06
1.23E+06
1.24E+06
1.31E+06
1.42E+06
1.49E+06
1.57E+06
1.69E+06
1.93E+06
2.03E+06
2.13E+06
2.23E+06
2.35E+06
2.48E+06
2.64E+06
2.78E+06
2.90E+06
2.94E+06
2.95E+06
3.05E+06
3.15E+06
3.28E+06
3.43E+06
3.57E+06
3.86E+06
