envi
9.87E+03
1.04E+04
1.21E+04
1.44E+04
1.47E+04
1.58E+04
1.77E+04
2.21E+04
3.17E+04
3.49E+04
3.72E+04
4.04E+04
4.13E+04
4.27E+04
3.94E+04
3.84E+04
3.80E+04
3.95E+04
4.17E+04
4.51E+04
4.42E+04
4.36E+04
4.52E+04
4.70E+04
5.02E+04
5.17E+04
5.30E+04
5.26E+04
5.64E+04
5.57E+04
6.08E+04
6.15E+04
6.51E+04
6.92E+04
7.87E+04
8.63E+04
9.44E+04
9.70E+04
1.06E+05
1.12E+05
1.26E+05
1.29E+05
1.37E+05
1.46E+05
1.53E+05
1.65E+05
1.80E+05
2.12E+05
2.43E+05
2.72E+05
3.08E+05
