Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Source,EID
"Kalla P., Cyterski M., Scheidt D., Minucci J.","8898336200;56289787200;6603915164;57192105366;","Spatiotemporal effects of interacting water quality constituents on mercury in a common prey fish in a large, perturbed, subtropical wetland",2021,"Science of the Total Environment","792",,"148321","","",,,"10.1016/j.scitotenv.2021.148321","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109066258&doi=10.1016%2fj.scitotenv.2021.148321&partnerID=40&md5=157c1e2159ba6bfec6b24422f676ecbc","Everglades; Habitat; Mosquitofish; Phosphorus; Restoration; Sulfur","Bioaccumulation; Biochemistry; Carbon; Ecosystems; Environmental Protection Agency; Fish; Lakes; Mercury (metal); Mercury compounds; Phosphatases; Phosphorus; Restoration; Sulfur; Sulfur compounds; Tropics; Water management; Water quality; Covariates; Environmental variables; Everglade; Florida; Foodwebs; Mercury bioaccumulation; Mercury concentrations; Mosquitofish; Random location; Spatiotemporal effects; Wetlands; chorionic gonadotropin; mercury; methylmercury; mercury; bioaccumulation; finfish; habitat; mercury (element); phosphorus; restoration ecology; spatiotemporal analysis; sulfur; water quality; wetland; algal bloom; aquatic environment; Article; biomass; cyanobacterium; eutrophication; geographic distribution; limit of detection; machine learning; microbial community; nonhuman; sea surface temperature; seasonal variation; soil acidity; soil pollution; willow; animal; ecosystem; environmental monitoring; Florida; water pollutant; water quality; wetland; Everglades; Florida [United States]; United States; Florida; Gambusia affinis; Gambusia holbrooki; Indicator indicator; Animals; Ecosystem; Environmental Monitoring; Florida; Mercury; Water Pollutants, Chemical; Water Quality; Wetlands",Article,Scopus,2-s2.0-85109066258
"Gershenson C.","56002726000;","Intelligence as Information Processing: Brains, Swarms, and Computers",2021,"Frontiers in Ecology and Evolution","9",,"755981","","",,,"10.3389/fevo.2021.755981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118666202&doi=10.3389%2ffevo.2021.755981&partnerID=40&md5=58576aa96017f6e11dfceb08dfe722a9","brain; cognition; computer; information; intelligence; mind; swarm",,Article,Scopus,2-s2.0-85118666202
"Yan P., Lu H., Chen Y., Li Z., Li H.","57218588480;25937323000;57188765297;57226662656;57196366340;","A stack-based set inversion model for smart water, carbon and ecological assessment in urban agglomerations",2021,"Journal of Cleaner Production","319",,"128665","","",,3,"10.1016/j.jclepro.2021.128665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112487949&doi=10.1016%2fj.jclepro.2021.128665&partnerID=40&md5=34918bf895cc6b0a463adbc3639065d7","Carbon and ecological footprints; Ensemble inversion model; Smart evaluation and prediction; Urban agglomeration; Water; Yangtze river","Agglomeration; Carbon; Ecology; Greenhouse gases; Machine learning; Quality control; Water; Carbon and ecological footprint; Ecological footprint; Ensemble inversion model; GHG emission; Inversion models; Set inversion; Smart evaluation and prediction; Urban agglomerations; Water footprint; Yangtze River; Forecasting",Article,Scopus,2-s2.0-85112487949
"Adeyeri O.E., Ishola K.A.","57193666413;57194725534;","Variability and Trends of Actual Evapotranspiration over West Africa: The Role of Environmental Drivers.",2021,"Agricultural and Forest Meteorology","308-309",,"108574","","",,2,"10.1016/j.agrformet.2021.108574","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112021916&doi=10.1016%2fj.agrformet.2021.108574&partnerID=40&md5=7df21c68c0fe3a09d20716d54e4e85f2","Actual Evapotranspiration; Atmospheric Evaporative Demand; Rainfall; Water supply; wavelet decomposition","ecozone; environmental factor; evapotranspiration; solar radiation; spatiotemporal analysis; Sahel [Sub-Saharan Africa]; West Africa",Article,Scopus,2-s2.0-85112021916
"Liu T., Yu S., Zhu X., Liao R., Zhuo Z., He Y., Ma H.","57320805800;57222088615;57320805900;35233818900;57218336256;57320806000;57226801175;","In-situ Detection Method for Microplastics in Water by Polarized Light Scattering",2021,"Frontiers in Marine Science","8",,"739683","","",,,"10.3389/fmars.2021.739683","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118337476&doi=10.3389%2ffmars.2021.739683&partnerID=40&md5=4475f830e998efe8bf7300fa51c4dff3","classification; in-situ detection; machine learning; microplastics; polarization; scattering light",,Article,Scopus,2-s2.0-85118337476
"Justeau-Allaire D.","57203843262;","Constraint-based systematic conservation planning: A generic and expressive approach applied to decision support for the conservation of New Caledonian forests [Planification systématique de la conservation basée sur les contraintes, une approche générique et expressive: Application à l’aide à la décision pour la conservation des forêts de Nouvelle-Calédonie] [Planificación sistemática de la conservación basada en restricciones, un enfoque genérico y expresivo: Aplicación en la ayuda a la toma de decisiones para la conservación de los bosques en Nueva Caledonia]",2021,"Bois et Forets des Tropiques","349",,,"107","108",,,"10.19182/bft2021.a36793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118844181&doi=10.19182%2fbft2021.a36793&partnerID=40&md5=1498b5bff99f2462c4b7432e5180b0c7","Artificial intelligence; Constraint programming; Decision support; Forest conservation; New caledonia; Restoration planning; Systematic conservation planning",,Article,Scopus,2-s2.0-85118844181
"Plonus R.-M., Vogl S., Floeter J.","57221543054;37098116400;6507321936;","Automatic Segregation of Pelagic Habitats",2021,"Frontiers in Marine Science","8",,"754375","","",,,"10.3389/fmars.2021.754375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117346532&doi=10.3389%2ffmars.2021.754375&partnerID=40&md5=6c98419b3694a182ee49612438f9cba1","machine learning; North Sea; pelagic habitats; plankton patchiness; submesoscale",,Article,Scopus,2-s2.0-85117346532
"Schindler J., Dymond J.R., Wiser S.K., Shepherd J.D.","57219929281;7006390618;7003308145;7401742293;","Method for national mapping spatial extent of southern beech forest using temporal spectral signatures",2021,"International Journal of Applied Earth Observation and Geoinformation","102",,"102408","","",,2,"10.1016/j.jag.2021.102408","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120699051&doi=10.1016%2fj.jag.2021.102408&partnerID=40&md5=371f634d06f14c19918ca2cfc8f15ef7","Beech forest; Forest survey; Forest type mapping; Machine learning; Sentinel-2; Spectral indices","deciduous forest; forest management; machine learning; mapping; Sentinel; spectral analysis; Nothofagaceae",Article,Scopus,2-s2.0-85120699051
"Lin Y., Zhang T., Ye Q., Cai J., Wu C., Khirni Syed A., Li J.","23993061100;57202043522;35797842600;15836589100;56609388500;57364793600;57235557700;","Long-term remote sensing monitoring on LUCC around Chaohu Lake with new information of algal bloom and flood submerging",2021,"International Journal of Applied Earth Observation and Geoinformation","102",,"102413","","",,2,"10.1016/j.jag.2021.102413","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118836888&doi=10.1016%2fj.jag.2021.102413&partnerID=40&md5=e74615a40de18da716a3b0330ff8c285","Change monitor; Flood detection; Image classification; Land use spatial pattern; The Chao Lake Basin","agglomeration; algal bloom; algorithm; anthropogenic effect; environmental monitoring; flooding; image classification; land use change; remote sensing; spatial analysis; Anhui; Chaohu Lake; China; Varanidae",Article,Scopus,2-s2.0-85118836888
"Šulyová D., Vodák J., Kubina M.","57219362564;55235011900;55252035200;","Effective management of scarce water resources: From antiquity to today and into the future",2021,"Water (Switzerland)","13","19","2734","","",,2,"10.3390/w13192734","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116428142&doi=10.3390%2fw13192734&partnerID=40&md5=822eb05d59ae8f0e4009bba167e27ef8","Best practice; Efficient management; Old age; Smart Cities; Technology; Water management; Water scarcity","Climate change; Smart city; Technology transfer; Best practices; Effective management; Efficient managements; Human lives; Old age; Population explosion; Technology; Water scarcity; Waters managements; Waters resources; Water management; detection method; explosion; future prospect; sustainability; twenty first century; water management; water resource; Slovakia",Article,Scopus,2-s2.0-85116428142
"Kirk D.A., Karimi S., Maida J.R., Harvey J.A., Larsen K.W., Bishop C.A.","35547620200;57282769000;57197841833;57217018754;7202662833;7202946338;","Using ecological niche models for population and range estimates of a threatened snake species (Crotalus oreganus) in Canada",2021,"Diversity","13","10","467","","",,,"10.3390/d13100467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116285224&doi=10.3390%2fd13100467&partnerID=40&md5=9ee6ff4aa8cd69602122d5c4c57baa6c","Canada; Crotalus oreganus; Ecological niche models (ENMs), population estimates; Machine learning algorithms; Relative index of occurrence; Snakes; Species-at-risk conservation; Viperidae","algorithm; conservation; GIS; machine learning; niche; population dynamics; range size; snake; species occurrence; British Columbia; Canada; Columbia; Crotalus; Crotalus oreganus; Crotalus viridis; Serpentes; Viperidae",Article,Scopus,2-s2.0-85116285224
"Calamaro N., Beck Y., Melech R.B., Shmilovitz D.","55546729100;16030479700;57273555200;55921199000;","An energy-fraud detection-system capable of distinguishing frauds from other energy flow anomalies in an urban environment",2021,"Sustainability (Switzerland)","13","19","696","","",,1,"10.3390/su131910696","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115781630&doi=10.3390%2fsu131910696&partnerID=40&md5=e06613db3a3f5f1631e462dbc07def4f","AI—Artificial Intelligence; Fraud detection; Smart grid; Smart meters","algorithm; carbon dioxide; correlation; detection method; energy flow; foundation; training",Article,Scopus,2-s2.0-85115781630
"Ramazi P., Kunegel-Lion M., Greiner R., Lewis M.A.","56133240400;57204686759;7102873710;56653866000;","Predicting insect outbreaks using machine learning: A mountain pine beetle case study",2021,"Ecology and Evolution","11","19",,"13014","13028",,2,"10.1002/ece3.7921","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114686455&doi=10.1002%2fece3.7921&partnerID=40&md5=f6035e32caeb27ee1ac120b5f9978d2f","future infestations; insect spread; machine learning; mountain pine beetle; predictive ecology; temporal prediction",,Article,Scopus,2-s2.0-85114686455
"Rumelt R.B., Basto A., Mere Roncal C.","57515372400;57243927300;57201091360;","Automated audio recording as a means of surveying tinamous (Tinamidae) in the Peruvian Amazon",2021,"Ecology and Evolution","11","19",,"13518","13531",,1,"10.1002/ece3.8078","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114170280&doi=10.1002%2fece3.8078&partnerID=40&md5=eb614735f8b4bf8f569aed8e65538ea3","bioacoustics; bird biology; machine learning; Neotropics; Peru; tinamous",,Article,Scopus,2-s2.0-85114170280
"Alkhamis M.A., Fountain-Jones N.M., Aguilar-Vega C., Sánchez-Vizcaíno J.M.","26321325500;55359929500;57201318464;7003522540;","Environment, vector, or host? Using machine learning to untangle the mechanisms driving arbovirus outbreaks",2021,"Ecological Applications","31","7","e02407","","",,,"10.1002/eap.2407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113818055&doi=10.1002%2feap.2407&partnerID=40&md5=5afaf7ef56679db29044e2945f8aae50","Bluetongue virus; Culicoides; disease; game theory; midges; species distribution models; vector-borne pathogens","disease vector; epidemiology; goat; machine learning; population outbreak; virus; Europe; Arbovirus; Bluetongue virus; Chironomidae; animal; Arbovirus; bluetongue; Ceratopogonidae; epidemic; insect vector; machine learning; sheep; Animals; Arboviruses; Bluetongue; Ceratopogonidae; Disease Outbreaks; Insect Vectors; Machine Learning; Sheep",Article,Scopus,2-s2.0-85113818055
"An L., Grimm V., Sullivan A., TurnerII B.L., Malleson N., Heppenstall A., Vincenot C., Robinson D., Ye X., Liu J., Lindkvist E., Tang W.","7102775296;7006008102;56088772000;57226528488;35190748300;9243300500;36553452400;8295257200;36474249400;57202270607;56175855600;8934166100;","Challenges, tasks, and opportunities in modeling agent-based complex systems",2021,"Ecological Modelling","457",,"109685","","",,4,"10.1016/j.ecolmodel.2021.109685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111797140&doi=10.1016%2fj.ecolmodel.2021.109685&partnerID=40&md5=d538fe48bc78c1353c7979727c996ca7","Agent-based complex systems; Agent-based modelling; Artificial intelligence; Data science; Socioecological systems","Artificial intelligence; Computational methods; Data mining; Data Science; Ecology; Simulation platform; Agent-based complex systems; Agent-based modeling; Behavioral rules; Equation-based models; Grand Challenge; Modeling agents; New forms; Social-ecological systems; Socio-ecological systems; Traditional equations; Autonomous agents; artificial intelligence; data mining; ecological modeling; machine learning",Review,Scopus,2-s2.0-85111797140
"Marques A.O., de Sousa A.N., Bernardes V.P., Bernardo C.H., Reis D.M., Godoy A.T., Fransozo A.","57226496421;57190123111;57190127082;57190125942;57217092070;57224802295;6701728951;","Evaluation of caridean ecological distribution in the Ubatuba region, southeastern Brazilian coast using unsupervised machine learning technique",2021,"Marine Ecology","42","5","e12673","","",,1,"10.1111/maec.12673","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111745362&doi=10.1111%2fmaec.12673&partnerID=40&md5=49d6977e9e6d8885440eab2f72593467","biodetritus; bycatch; clustering; composition; environmental protection area; shelter","bycatch; cluster analysis; crustacean; environmental factor; environmental protection; machine learning; seasonal variation; shelter; spatial distribution; Brazil; Sao Paulo [Brazil]; Ubatuba; Decapoda (Crustacea); Exhippolysmata oplophoroides; Leander paulensis; Nematopalaemon schmitti",Article,Scopus,2-s2.0-85111745362
"Maina J.M., Bosire J.O., Kairo J.G., Bandeira S.O., Mangora M.M., Macamo C., Ralison H., Majambo G.","8979455900;8964135900;6602506060;57203411548;12546068900;32867907300;57215278308;57218588745;","Identifying global and local drivers of change in mangrove cover and the implications for management",2021,"Global Ecology and Biogeography","30","10",,"2057","2069",,3,"10.1111/geb.13368","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111665696&doi=10.1111%2fgeb.13368&partnerID=40&md5=96d7ba0b43c829d86b270cb5ba13e4f6","drivers of change; mangrove conservation; mangrove exposure; sea-level rise; spatially adaptive management; Western Indian Ocean","Rhizophoraceae",Article,Scopus,2-s2.0-85111665696
"Deng C., Li H., Peng D., Liu L., Zhu Q., Li C.","57195150626;57205059158;7202530680;35764666500;57196452375;57216972060;","Modelling the coupling evolution of the water environment and social economic system using PSO-SVM in the Yangtze River Economic Belt, China",2021,"Ecological Indicators","129",,"108012","","",,4,"10.1016/j.ecolind.2021.108012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111046342&doi=10.1016%2fj.ecolind.2021.108012&partnerID=40&md5=ee52a1cfdeeb63463ddeb6d29bc1305d","Coupling coordination degree; Gray water footprint; Green development; Machine learning; Scenario analysis","Economics; Learning systems; Planning; Sustainable development; Coupling coordination degree; Coupling evolution; Gray water; Gray water footprint; Green development; Machine-learning; Scenarios analysis; Social economy; Water environments; Yangtze River; Regional planning; carrying capacity; ecological economics; economic system; environmental economics; spatiotemporal analysis; support vector machine; sustainable development; water footprint; China; Yangtze River",Article,Scopus,2-s2.0-85111046342
"Langlois J., Guilhaumon F., Bockel T., Boissery P., De Almeida Braga C., Deter J., Holon F., Marre G., Tribot A.-S., Mouquet N.","57225394599;24168494900;57201483228;6505631814;57217083480;56955843900;36625442700;55811881700;56884746400;55973469300;","An integrated approach to estimate aesthetic and ecological values of coralligenous reefs",2021,"Ecological Indicators","129",,"107935","","",,1,"10.1016/j.ecolind.2021.107935","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109458041&doi=10.1016%2fj.ecolind.2021.107935&partnerID=40&md5=4d048814392e09c6e7ee3335583ff335","Aesthetic perception; Coralligenous reefs; Deep learning; Ecological value; Nature contribution to people","Behavioral research; Biodiversity; Deep learning; Ecosystems; Learning algorithms; Aesthetic perception; Aesthetic value; Coralligenous reef; Deep learning; Ecological values; Integrated approach; Nature contribution to people; Species composition; Taxonomic diversity; Well being; Reefs; algorithm; biodiversity; conservation management; coral reef; coralline alga; environmental assessment; esthetics; estimation method; integrated approach; machine learning; marine ecosystem; France; Mediterranean Coast [France]",Article,Scopus,2-s2.0-85109458041
"Ye Q., Yu S., Liu J., Zhao Q., Zhao Z.","57193418483;57192717348;56178847400;55937105500;55726121300;","Aboveground biomass estimation of black locust planted forests with aspect variable using machine learning regression algorithms",2021,"Ecological Indicators","129",,"107948","","",,2,"10.1016/j.ecolind.2021.107948","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109454557&doi=10.1016%2fj.ecolind.2021.107948&partnerID=40&md5=a57d483f8242d3b7f75b78641d4ce70b","Aboveground biomass; Aspect; Black locust planted forests; Machine learning algorithms","Decision trees; Ecology; Learning algorithms; Neural networks; Reforestation; Support vector machines; Above ground biomass; Accurate estimation; Aspect; Biomass estimation; Black locust; Black locust planted forest; Machine learning algorithms; Machine-learning; Random forests; Regression algorithms; Biomass; aboveground biomass; algorithm; artificial neural network; deciduous tree; detection method; dicotyledon; forest ecosystem; machine learning; Robinia pseudoacacia",Article,Scopus,2-s2.0-85109454557
"Hu X., Shi L., Lin G., Lin L.","57192316749;9237930900;57220719827;57211707745;","Comparison of physical-based, data-driven and hybrid modeling approaches for evapotranspiration estimation",2021,"Journal of Hydrology","601",,"126592","","",,6,"10.1016/j.jhydrol.2021.126592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109173566&doi=10.1016%2fj.jhydrol.2021.126592&partnerID=40&md5=446e32bb4e567fafaf8a2d3437be78ba","Data-driven; Evapotranspiration; Hybrid modeling; Physical-based","Decision trees; Evapotranspiration; Network architecture; Data driven; Data driven modelling; Hybrid modelling; Neural-networks; Physical based modeling; Physical-based; Random forests; Surface energy balance systems; Symbolic regression; Systems modelling; Deep neural networks; accuracy assessment; comparative study; energy balance; estimation method; evapotranspiration; machine learning; numerical model; physical analysis",Article,Scopus,2-s2.0-85109173566
"Mondal R., Bhat A.","57216274352;12785353900;","Comparison of regression-based and machine learning techniques to explain alpha diversity of fish communities in streams of central and eastern India",2021,"Ecological Indicators","129",,"107922","","",,,"10.1016/j.ecolind.2021.107922","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108832456&doi=10.1016%2fj.ecolind.2021.107922&partnerID=40&md5=97b4f80ba6fa3db1dd17443c78df8c60","Artificial neural network; Freshwater fish; Generalized additive models; Linear mixed models; Multivariate adaptive regression splines","Additives; Ecosystems; Feature extraction; Fish; Forestry; Machine learning; Neural networks; Regression analysis; Splines; Central India; Eastern India; Freshwater fishes; Generalized additive model; Linear mixed models; Machine learning techniques; Model method; Multivariate adaptive regression splines; Neural-networks; Species richness and diversities; Water; additive; artificial neural network; comparative study; homogeneity; machine learning; regression analysis; species diversity; species richness; water temperature; India; Pisces",Article,Scopus,2-s2.0-85108832456
"Mohajane M., Costache R., Karimi F., Bao Pham Q., Essahlaoui A., Nguyen H., Laneve G., Oudija F.","57195618368;55888132500;57200226119;57208495034;53876991900;57226664186;6603065055;57195622283;","Application of remote sensing and machine learning algorithms for forest fire mapping in a Mediterranean area",2021,"Ecological Indicators","129",,"107869","","",,19,"10.1016/j.ecolind.2021.107869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108686922&doi=10.1016%2fj.ecolind.2021.107869&partnerID=40&md5=44c1bb31dc4976d4d55aff6bed462757","Forest fire; Hybrid machine learning algorithm; Mediterranean area; Remote sensing","Decision trees; Disaster prevention; Ecosystems; Fire hazards; Fires; Forecasting; Land use; Learning algorithms; Logistic regression; Mapping; Remote sensing; Support vector machines; Support vector regression; Wind; Fire mapping; Forest fire disasters; Forest fires; Frequency ratios; Hybrid machine learning algorithm; Machine learning algorithms; Mediterranean areas; Performance; Remote machines; Remote-sensing; Deforestation; accuracy assessment; algorithm; ecological modeling; forest ecosystem; forest fire; machine learning; mapping method; Mediterranean environment; NDVI; remote sensing; support vector machine; Morocco",Article,Scopus,2-s2.0-85108686922
